user0	0	1.0	0.9999546000702375
user1	0	1.0	0.9999546000702375
user2	6	1.0	0.808523248958745
user3	2	1.0	0.9958643731296314
user4	0	1.0	0.9999546000702375
user5	5	1.0	0.8926114379824522
user6	1	1.0	0.9993937282298413
user7	5	1.0	0.8926114379824522
user8	2	1.0	0.9958643731296314
user9	1	1.0	0.9993937282298413
user10	5	1.0	0.8926114379824522
user11	0	1.0	0.9999546000702375
user12	2	1.0	0.9958643731296314
user13	6	1.0	0.808523248958745
user14	1	1.0	0.9993937282298413
user15	2	1.0	0.9958643731296314
user16	6	1.0	0.808523248958745
user17	3	1.0	0.9828489622570185
user18	0	1.0	0.9999546000702375
user19	0	1.0	0.9999546000702375
user20	0	1.0	0.9999546000702375
user21	1	1.0	0.9993937282298413
user22	2	1.0	0.9958643731296314
user23	5	1.0	0.8926114379824522
user24	1	1.0	0.9993937282298413
user25	2	1.0	0.9958643731296314
user26	3	1.0	0.9828489622570185
user27	4	1.0	0.950803958651731
user28	1	1.0	0.9993937282298413
user29	3	1.0	0.9828489622570185
user30	0	1.0	0.9999546000702375
user31	0	1.0	0.9999546000702375
user32	0	1.0	0.9999546000702375
user33	0	1.0	0.9999546000702375
user34	1	1.0	0.9993937282298413
user35	1	1.0	0.9993937282298413
user36	0	1.0	0.9999546000702375
user37	3	1.0	0.9828489622570185
user38	3	1.0	0.9828489622570185
user39	1	1.0	0.9993937282298413
user40	0	1.0	0.9999546000702375
user41	0	1.0	0.9999546000702375
user42	2	1.0	0.9958643731296314
user43	4	1.0	0.950803958651731
user44	0	1.0	0.9999546000702375
user45	6	1.0	0.808523248958745
user46	3	1.0	0.9828489622570185
user47	4	1.0	0.950803958651731
user48	1	1.0	0.9993937282298413
user49	1	1.0	0.9993937282298413
user50	0	1.0	0.9999546000702375
user51	4	1.0	0.950803958651731
user52	1	1.0	0.9993937282298413
user53	3	1.0	0.9828489622570185
user54	0	1.0	0.9999546000702375
user55	3	1.0	0.9828489622570185
user56	8	1.0	0.5963388670797799
user57	2	1.0	0.9958643731296314
user58	2	1.0	0.9958643731296314
user59	1	1.0	0.9993937282298413
user60	1	1.0	0.9993937282298413
user61	0	1.0	0.9999546000702375
user62	9	1.0	0.48934196865805824
user63	1	1.0	0.9993937282298413
user64	6	1.0	0.808523248958745
user65	0	1.0	0.9999546000702375
user66	1	1.0	0.9993937282298413
user67	0	1.0	0.9999546000702375
user68	0	1.0	0.9999546000702375
user69	2	1.0	0.9958643731296314
user70	2	1.0	0.9958643731296314
user71	5	1.0	0.8926114379824522
user72	0	1.0	0.9999546000702375
user73	0	1.0	0.9999546000702375
user74	0	1.0	0.9999546000702375
user75	2	1.0	0.9958643731296314
user76	0	1.0	0.9999546000702375
user77	1	1.0	0.9993937282298413
user78	2	1.0	0.9958643731296314
user79	0	1.0	0.9999546000702375
user80	6	1.0	0.808523248958745
user81	0	1.0	0.9999546000702375
user82	0	1.0	0.9999546000702375
user83	1	1.0	0.9993937282298413
user84	2	1.0	0.9958643731296314
user85	0	1.0	0.9999546000702375
user86	0	1.0	0.9999546000702375
user87	3	1.0	0.9828489622570185
user88	3	1.0	0.9828489622570185
user89	1	1.0	0.9993937282298413
user90	0	1.0	0.9999546000702375
user91	3	1.0	0.9828489622570185
user92	1	1.0	0.9993937282298413
user93	2	1.0	0.9958643731296314
user94	2	1.0	0.9958643731296314
user95	3	1.0	0.9828489622570185
user96	2	1.0	0.9958643731296314
user97	0	1.0	0.9999546000702375
user98	0	1.0	0.9999546000702375
user99	3	1.0	0.9828489622570185
